Start Date,Start Time,End Date,End Time,Duration (h)
07/05/2021,16:16:16,07/05/2021,16:23:10,00:06:54
07/05/2021,16:23:15,07/05/2021,16:41:25,00:18:10
11/05/2021,13:56:03,11/05/2021,14:54:29,00:58:26
12/05/2021,11:00:00,12/05/2021,11:45:00,00:45:00
12/05/2021,13:14:53,12/05/2021,14:33:12,01:18:19
13/05/2021,10:35:56,13/05/2021,10:42:54,00:06:58
13/05/2021,11:18:03,13/05/2021,11:19:46,00:01:43
13/05/2021,11:39:27,13/05/2021,11:58:46,00:19:19
20/05/2021,09:58:52,20/05/2021,11:21:52,01:23:00
20/05/2021,13:20:34,20/05/2021,13:32:44,00:12:10
20/05/2021,13:44:26,20/05/2021,14:25:23,00:40:57
26/05/2021,09:15:21,26/05/2021,09:23:48,00:08:27
12/05/2021,14:12:53,12/05/2021,14:40:03,00:27:10
12/05/2021,14:50:34,12/05/2021,14:53:32,00:02:58
12/05/2021,15:13:05,12/05/2021,15:50:52,00:37:47
25/05/2021,08:00:00,25/05/2021,09:48:50,01:48:50
26/05/2021,16:32:00,26/05/2021,18:02:24,01:30:24
27/05/2021,08:00:00,27/05/2021,09:57:00,01:57:00
27/05/2021,09:59:35,27/05/2021,10:54:03,00:54:28
13/05/2021,16:30:00,13/05/2021,17:40:00,01:10:00
05/05/2021,15:13:35,05/05/2021,16:56:39,01:43:04
06/05/2021,10:17:57,06/05/2021,10:40:29,00:22:32
06/05/2021,10:44:20,06/05/2021,11:23:05,00:38:45
06/05/2021,11:30:30,06/05/2021,11:41:07,00:10:37
10/05/2021,09:25:14,10/05/2021,09:57:28,00:32:14
11/05/2021,08:57:22,11/05/2021,11:35:00,02:37:38
11/05/2021,11:40:00,11/05/2021,12:00:58,00:20:58
11/05/2021,13:09:44,11/05/2021,14:11:00,01:01:16
11/05/2021,15:18:39,11/05/2021,15:21:55,00:03:16
13/05/2021,10:50:00,13/05/2021,12:15:00,01:25:00
19/05/2021,15:33:24,19/05/2021,16:45:49,01:12:25
20/05/2021,14:30:00,20/05/2021,15:03:00,00:33:00
21/05/2021,16:53:29,21/05/2021,17:00:30,00:07:01
24/05/2021,11:54:23,24/05/2021,12:02:51,00:08:28
24/05/2021,17:42:11,24/05/2021,17:45:25,00:03:14
25/05/2021,09:09:03,25/05/2021,09:26:34,00:17:31
19/05/2021,10:00:00,19/05/2021,12:00:00,02:00:00
19/05/2021,13:00:00,19/05/2021,15:07:00,02:07:00
21/05/2021,10:00:00,21/05/2021,10:45:00,00:45:00
11/05/2021,09:15:00,11/05/2021,10:20:00,01:05:00
11/05/2021,10:20:00,11/05/2021,11:30:00,01:10:00
11/05/2021,11:40:00,11/05/2021,12:04:00,00:24:00
24/05/2021,15:18:14,24/05/2021,17:25:35,02:07:21
25/05/2021,09:15:00,25/05/2021,11:30:00,02:15:00
26/05/2021,10:49:00,26/05/2021,11:55:16,01:06:16
27/05/2021,09:15:00,27/05/2021,11:56:00,02:41:00
27/05/2021,14:53:44,27/05/2021,16:20:59,01:27:15
28/05/2021,09:10:00,28/05/2021,10:23:41,01:13:41
28/05/2021,10:24:04,28/05/2021,11:38:09,01:14:05
28/05/2021,13:21:16,28/05/2021,15:25:45,02:04:29
28/05/2021,15:25:51,28/05/2021,16:25:17,00:59:26
31/05/2021,09:12:00,31/05/2021,10:21:22,01:09:22
20/05/2021,10:15:00,20/05/2021,12:00:00,01:45:00
20/05/2021,13:50:00,20/05/2021,17:30:00,03:40:00
20/05/2021,17:31:34,20/05/2021,17:42:40,00:11:06
